strategy,cutoff,cum_reactions,cum_modes
hub_batching,0.5,3,1
hub_batching,0.5,6,2
hub_batching,0.5,9,3
hub_batching,0.5,11,4
hub_batching,0.5,14,5
hub_batching,0.5,17,6
hub_batching,0.5,20,7
hub_batching,0.5,23,8
hub_batching,0.5,26,9
hub_batching,0.5,29,10
hub_batching,0.5,32,11
hub_batching,0.5,35,12
hub_batching,0.5,38,13
hub_batching,0.5,41,14
hub_batching,0.5,44,15
hub_batching,0.5,47,16
hub_batching,0.5,50,17
hub_batching,0.5,53,18
hub_batching,0.5,55,19
hub_batching,0.5,58,20
hub_batching,0.5,61,21
hub_batching,0.5,64,22
hub_batching,0.5,67,23
hub_batching,0.5,70,24
hub_batching,0.5,73,25
hub_batching,0.5,76,26
hub_batching,0.5,79,27
hub_batching,0.5,82,28
hub_batching,0.5,85,29
hub_batching,0.5,88,30
hub_batching,0.5,91,31
hub_batching,0.5,94,32
hub_batching,0.5,97,33
hub_batching,0.5,99,34
hub_batching,0.5,102,35
hub_batching,0.5,105,36
hub_batching,0.5,108,37
hub_batching,0.5,111,38
hub_batching,0.5,114,39
hub_batching,0.5,117,40
hub_batching,0.5,120,41
hub_batching,0.5,123,42
hub_batching,0.5,126,43
hub_batching,0.5,128,44
hub_batching,0.5,131,45
hub_batching,0.5,134,46
hub_batching,0.5,137,47
hub_batching,0.5,140,48
hub_batching,0.5,143,49
hub_batching,0.5,146,50
hub_batching,0.5,149,51
hub_batching,0.5,152,52
hub_batching,0.5,155,53
hub_batching,0.5,158,54
hub_batching,0.5,161,55
hub_batching,0.5,164,56
hub_batching,0.5,167,57
hub_batching,0.5,170,58
hub_batching,0.5,173,59
hub_batching,0.5,176,60
hub_batching,0.5,179,61
hub_batching,0.5,182,62
hub_batching,0.5,185,63
hub_batching,0.5,188,64
hub_batching,0.5,191,65
hub_batching,0.5,194,66
hub_batching,0.5,197,67
hub_batching,0.5,200,68
hub_batching,0.5,203,69
hub_batching,0.5,206,70
hub_batching,0.5,207,71
hub_batching,0.5,210,72
hub_batching,0.5,213,73
hub_batching,0.5,216,74
hub_batching,0.5,219,75
hub_batching,0.5,222,76
hub_batching,0.5,225,77
hub_batching,0.5,227,78
hub_batching,0.5,230,79
hub_batching,0.5,233,80
hub_batching,0.5,236,81
hub_batching,0.5,239,82
hub_batching,0.5,241,83
hub_batching,0.5,244,84
hub_batching,0.5,247,85
hub_batching,0.5,250,86
hub_batching,0.5,253,87
hub_batching,0.5,256,88
hub_batching,0.5,259,89
hub_batching,0.5,260,90
hub_batching,0.5,263,91
hub_batching,0.5,266,92
hub_batching,0.5,269,93
hub_batching,0.5,272,94
hub_batching,0.5,275,95
hub_batching,0.5,278,96
hub_batching,0.5,281,97
hub_batching,0.5,284,98
hub_batching,0.5,287,99
hub_batching,0.5,290,100
hub_batching,0.5,293,101
hub_batching,0.5,296,102
hub_batching,0.5,298,103
hub_batching,0.5,301,104
hub_batching,0.5,304,105
hub_batching,0.5,307,106
hub_batching,0.5,310,107
hub_batching,0.5,313,108
hub_batching,0.5,316,109
hub_batching,0.5,318,110
hub_batching,0.5,319,111
hub_batching,0.5,322,112
hub_batching,0.5,325,113
hub_batching,0.5,326,114
hub_batching,0.5,329,115
hub_batching,0.5,332,116
hub_batching,0.5,335,117
hub_batching,0.5,338,118
hub_batching,0.5,341,119
hub_batching,0.5,342,120
hub_batching,0.5,345,121
hub_batching,0.5,348,122
hub_batching,0.5,351,123
hub_batching,0.5,354,124
hub_batching,0.5,357,125
hub_batching,0.5,358,126
hub_batching,0.5,361,127
hub_batching,0.5,364,128
hub_batching,0.5,367,129
hub_batching,0.5,369,130
hub_batching,0.5,372,131
hub_batching,0.5,375,132
hub_batching,0.5,376,133
hub_batching,0.5,379,134
hub_batching,0.5,382,135
hub_batching,0.5,385,136
hub_batching,0.5,388,137
hub_batching,0.5,391,138
hub_batching,0.5,394,139
hub_batching,0.5,397,140
hub_batching,0.5,400,141
hub_batching,0.5,403,142
hub_batching,0.5,406,143
hub_batching,0.5,409,144
hub_batching,0.5,412,145
hub_batching,0.5,415,146
hub_batching,0.5,418,147
hub_batching,0.5,419,148
hub_batching,0.5,422,149
hub_batching,0.5,425,150
hub_batching,0.5,427,151
hub_batching,0.5,430,152
hub_batching,0.5,433,153
hub_batching,0.5,436,154
hub_batching,0.5,439,155
hub_batching,0.5,442,156
hub_batching,0.5,445,157
hub_batching,0.5,446,158
hub_batching,0.5,449,159
hub_batching,0.5,452,160
hub_batching,0.5,455,161
hub_batching,0.5,456,162
hub_batching,0.5,459,163
hub_batching,0.5,461,164
hub_batching,0.5,464,165
hub_batching,0.5,467,166
hub_batching,0.5,470,167
hub_batching,0.5,473,168
hub_batching,0.5,476,169
hub_batching,0.5,479,170
hub_batching,0.5,482,171
hub_batching,0.5,485,172
hub_batching,0.5,486,173
hub_batching,0.5,489,174
hub_batching,0.5,492,175
hub_batching,0.5,493,176
hub_batching,0.5,496,177
hub_batching,0.5,499,178
hub_batching,0.5,502,179
hub_batching,0.5,503,180
hub_batching,0.5,506,181
hub_batching,0.5,509,182
hub_batching,0.5,512,183
hub_batching,0.5,515,184
hub_batching,0.5,518,185
hub_batching,0.5,521,186
hub_batching,0.5,524,187
hub_batching,0.5,527,188
hub_batching,0.5,528,189
hub_batching,0.5,531,190
hub_batching,0.5,534,191
hub_batching,0.5,537,192
hub_batching,0.5,540,193
hub_batching,0.5,542,194
hub_batching,0.5,545,195
hub_batching,0.5,548,196
hub_batching,0.5,551,197
hub_batching,0.5,554,198
hub_batching,0.5,557,199
hub_batching,0.5,560,200
hub_batching,0.5,563,201
hub_batching,0.5,566,202
hub_batching,0.5,569,203
hub_batching,0.5,572,204
hub_batching,0.5,575,205
hub_batching,0.5,578,206
hub_batching,0.5,581,207
hub_batching,0.5,584,208
hub_batching,0.5,587,209
hub_batching,0.5,590,210
hub_batching,0.5,593,211
hub_batching,0.5,596,212
hub_batching,0.5,599,213
hub_batching,0.5,602,214
hub_batching,0.5,605,215
hub_batching,0.5,608,216
hub_batching,0.5,609,217
hub_batching,0.5,611,218
hub_batching,0.5,614,219
hub_batching,0.5,617,220
hub_batching,0.5,620,221
hub_batching,0.5,622,222
hub_batching,0.5,625,223
hub_batching,0.5,628,224
hub_batching,0.5,631,225
hub_batching,0.5,634,226
hub_batching,0.5,637,227
hub_batching,0.5,640,228
hub_batching,0.5,643,229
hub_batching,0.5,646,230
hub_batching,0.5,649,231
hub_batching,0.5,652,232
hub_batching,0.5,654,233
hub_batching,0.5,657,234
hub_batching,0.5,660,235
hub_batching,0.5,661,236
hub_batching,0.5,664,237
hub_batching,0.5,667,238
hub_batching,0.5,670,239
hub_batching,0.5,671,240
hub_batching,0.5,674,241
hub_batching,0.5,675,242
hub_batching,0.5,678,243
hub_batching,0.5,681,244
hub_batching,0.5,682,245
hub_batching,0.5,683,246
hub_batching,0.5,686,247
hub_batching,0.5,689,248
hub_batching,0.5,692,249
hub_batching,0.5,695,250
hub_batching,0.5,698,251
hub_batching,0.5,700,252
hub_batching,0.5,702,253
hub_batching,0.5,705,254
hub_batching,0.5,706,255
hub_batching,0.5,709,256
hub_batching,0.5,712,257
hub_batching,0.5,715,258
hub_batching,0.5,718,259
hub_batching,0.5,721,260
hub_batching,0.5,722,261
hub_batching,0.5,724,262
hub_batching,0.5,726,263
hub_batching,0.5,728,264
hub_batching,0.5,731,265
hub_batching,0.5,732,266
hub_batching,0.5,733,267
hub_batching,0.5,735,268
hub_batching,0.5,738,269
hub_batching,0.5,741,270
hub_batching,0.5,744,271
hub_batching,0.5,745,272
hub_batching,0.5,746,273
hub_batching,0.5,749,274
hub_batching,0.5,752,275
hub_batching,0.5,755,276
hub_batching,0.5,758,277
hub_batching,0.5,759,278
hub_batching,0.5,762,279
hub_batching,0.5,763,280
hub_batching,0.5,766,281
hub_batching,0.5,769,282
hub_batching,0.5,772,283
hub_batching,0.5,775,284
hub_batching,0.5,778,285
hub_batching,0.5,779,286
hub_batching,0.5,781,287
hub_batching,0.5,783,288
hub_batching,0.5,785,289
hub_batching,0.5,788,290
hub_batching,0.5,791,291
hub_batching,0.5,794,292
hub_batching,0.5,797,293
hub_batching,0.5,800,294
hub_batching,0.5,803,295
hub_batching,0.5,806,296
hub_batching,0.5,807,297
hub_batching,0.5,810,298
hub_batching,0.5,813,299
hub_batching,0.5,816,300
best_candidate,0.5,4,1
best_candidate,0.5,8,2
best_candidate,0.5,12,3
best_candidate,0.5,16,4
best_candidate,0.5,20,5
best_candidate,0.5,24,6
best_candidate,0.5,27,7
best_candidate,0.5,30,8
best_candidate,0.5,34,9
best_candidate,0.5,38,10
best_candidate,0.5,41,11
best_candidate,0.5,45,12
best_candidate,0.5,47,13
best_candidate,0.5,51,14
best_candidate,0.5,55,15
best_candidate,0.5,57,16
best_candidate,0.5,61,17
best_candidate,0.5,63,18
best_candidate,0.5,66,19
best_candidate,0.5,69,20
best_candidate,0.5,73,21
best_candidate,0.5,75,22
best_candidate,0.5,79,23
best_candidate,0.5,82,24
best_candidate,0.5,86,25
best_candidate,0.5,90,26
best_candidate,0.5,91,27
best_candidate,0.5,94,28
best_candidate,0.5,97,29
best_candidate,0.5,101,30
best_candidate,0.5,104,31
best_candidate,0.5,105,32
best_candidate,0.5,107,33
best_candidate,0.5,110,34
best_candidate,0.5,114,35
best_candidate,0.5,117,36
best_candidate,0.5,119,37
best_candidate,0.5,123,38
best_candidate,0.5,126,39
best_candidate,0.5,128,40
best_candidate,0.5,131,41
best_candidate,0.5,135,42
best_candidate,0.5,139,43
best_candidate,0.5,142,44
best_candidate,0.5,143,45
best_candidate,0.5,146,46
best_candidate,0.5,149,47
best_candidate,0.5,151,48
best_candidate,0.5,154,49
best_candidate,0.5,156,50
best_candidate,0.5,160,51
best_candidate,0.5,164,52
best_candidate,0.5,167,53
best_candidate,0.5,171,54
best_candidate,0.5,174,55
best_candidate,0.5,178,56
best_candidate,0.5,181,57
best_candidate,0.5,184,58
best_candidate,0.5,188,59
best_candidate,0.5,190,60
best_candidate,0.5,194,61
best_candidate,0.5,195,62
best_candidate,0.5,199,63
best_candidate,0.5,201,64
best_candidate,0.5,204,65
best_candidate,0.5,207,66
best_candidate,0.5,211,67
best_candidate,0.5,215,68
best_candidate,0.5,218,69
best_candidate,0.5,221,70
best_candidate,0.5,225,71
best_candidate,0.5,229,72
best_candidate,0.5,232,73
best_candidate,0.5,235,74
best_candidate,0.5,237,75
best_candidate,0.5,241,76
best_candidate,0.5,245,77
best_candidate,0.5,248,78
best_candidate,0.5,251,79
best_candidate,0.5,253,80
best_candidate,0.5,255,81
best_candidate,0.5,258,82
best_candidate,0.5,262,83
best_candidate,0.5,266,84
best_candidate,0.5,269,85
best_candidate,0.5,272,86
best_candidate,0.5,276,87
best_candidate,0.5,278,88
best_candidate,0.5,280,89
best_candidate,0.5,283,90
best_candidate,0.5,286,91
best_candidate,0.5,288,92
best_candidate,0.5,291,93
best_candidate,0.5,294,94
best_candidate,0.5,297,95
best_candidate,0.5,301,96
best_candidate,0.5,305,97
best_candidate,0.5,308,98
best_candidate,0.5,310,99
best_candidate,0.5,314,100
best_candidate,0.5,318,101
best_candidate,0.5,321,102
best_candidate,0.5,325,103
best_candidate,0.5,329,104
best_candidate,0.5,332,105
best_candidate,0.5,335,106
best_candidate,0.5,338,107
best_candidate,0.5,342,108
best_candidate,0.5,344,109
best_candidate,0.5,347,110
best_candidate,0.5,350,111
best_candidate,0.5,354,112
best_candidate,0.5,358,113
best_candidate,0.5,362,114
best_candidate,0.5,365,115
best_candidate,0.5,369,116
best_candidate,0.5,373,117
best_candidate,0.5,374,118
best_candidate,0.5,378,119
best_candidate,0.5,382,120
best_candidate,0.5,386,121
best_candidate,0.5,389,122
best_candidate,0.5,392,123
best_candidate,0.5,394,124
best_candidate,0.5,397,125
best_candidate,0.5,400,126
best_candidate,0.5,403,127
best_candidate,0.5,406,128
best_candidate,0.5,409,129
best_candidate,0.5,413,130
best_candidate,0.5,417,131
best_candidate,0.5,420,132
best_candidate,0.5,423,133
best_candidate,0.5,426,134
best_candidate,0.5,428,135
best_candidate,0.5,432,136
best_candidate,0.5,436,137
best_candidate,0.5,440,138
best_candidate,0.5,444,139
best_candidate,0.5,447,140
best_candidate,0.5,451,141
best_candidate,0.5,454,142
best_candidate,0.5,457,143
best_candidate,0.5,461,144
best_candidate,0.5,464,145
best_candidate,0.5,467,146
best_candidate,0.5,471,147
best_candidate,0.5,473,148
best_candidate,0.5,475,149
best_candidate,0.5,476,150
best_candidate,0.5,478,151
best_candidate,0.5,480,152
best_candidate,0.5,483,153
best_candidate,0.5,486,154
best_candidate,0.5,490,155
best_candidate,0.5,492,156
best_candidate,0.5,495,157
best_candidate,0.5,497,158
best_candidate,0.5,500,159
best_candidate,0.5,503,160
best_candidate,0.5,507,161
best_candidate,0.5,509,162
best_candidate,0.5,513,163
best_candidate,0.5,516,164
best_candidate,0.5,520,165
best_candidate,0.5,523,166
best_candidate,0.5,526,167
best_candidate,0.5,530,168
best_candidate,0.5,534,169
best_candidate,0.5,537,170
best_candidate,0.5,540,171
best_candidate,0.5,544,172
best_candidate,0.5,546,173
best_candidate,0.5,549,174
best_candidate,0.5,550,175
best_candidate,0.5,552,176
best_candidate,0.5,555,177
best_candidate,0.5,559,178
best_candidate,0.5,563,179
best_candidate,0.5,567,180
best_candidate,0.5,570,181
best_candidate,0.5,573,182
best_candidate,0.5,577,183
best_candidate,0.5,579,184
best_candidate,0.5,582,185
best_candidate,0.5,583,186
best_candidate,0.5,586,187
best_candidate,0.5,589,188
best_candidate,0.5,593,189
best_candidate,0.5,597,190
best_candidate,0.5,600,191
best_candidate,0.5,603,192
best_candidate,0.5,605,193
best_candidate,0.5,607,194
best_candidate,0.5,611,195
best_candidate,0.5,613,196
best_candidate,0.5,616,197
best_candidate,0.5,619,198
best_candidate,0.5,623,199
best_candidate,0.5,627,200
best_candidate,0.5,630,201
best_candidate,0.5,633,202
best_candidate,0.5,634,203
best_candidate,0.5,637,204
best_candidate,0.5,641,205
best_candidate,0.5,645,206
best_candidate,0.5,648,207
best_candidate,0.5,652,208
best_candidate,0.5,656,209
best_candidate,0.5,659,210
best_candidate,0.5,662,211
best_candidate,0.5,664,212
best_candidate,0.5,667,213
best_candidate,0.5,669,214
best_candidate,0.5,673,215
best_candidate,0.5,676,216
best_candidate,0.5,680,217
best_candidate,0.5,683,218
best_candidate,0.5,685,219
best_candidate,0.5,689,220
best_candidate,0.5,693,221
best_candidate,0.5,696,222
best_candidate,0.5,699,223
best_candidate,0.5,702,224
best_candidate,0.5,705,225
best_candidate,0.5,709,226
best_candidate,0.5,711,227
best_candidate,0.5,714,228
best_candidate,0.5,716,229
best_candidate,0.5,718,230
best_candidate,0.5,722,231
best_candidate,0.5,726,232
best_candidate,0.5,728,233
best_candidate,0.5,730,234
best_candidate,0.5,732,235
best_candidate,0.5,735,236
best_candidate,0.5,736,237
best_candidate,0.5,740,238
best_candidate,0.5,743,239
best_candidate,0.5,745,240
best_candidate,0.5,748,241
best_candidate,0.5,751,242
best_candidate,0.5,755,243
best_candidate,0.5,759,244
best_candidate,0.5,762,245
best_candidate,0.5,766,246
best_candidate,0.5,769,247
best_candidate,0.5,773,248
best_candidate,0.5,777,249
best_candidate,0.5,781,250
best_candidate,0.5,784,251
best_candidate,0.5,786,252
best_candidate,0.5,789,253
best_candidate,0.5,791,254
best_candidate,0.5,795,255
best_candidate,0.5,799,256
best_candidate,0.5,802,257
best_candidate,0.5,805,258
best_candidate,0.5,808,259
best_candidate,0.5,812,260
best_candidate,0.5,815,261
best_candidate,0.5,818,262
best_candidate,0.5,820,263
best_candidate,0.5,824,264
best_candidate,0.5,827,265
best_candidate,0.5,830,266
best_candidate,0.5,833,267
best_candidate,0.5,836,268
best_candidate,0.5,839,269
best_candidate,0.5,843,270
best_candidate,0.5,847,271
best_candidate,0.5,851,272
best_candidate,0.5,854,273
best_candidate,0.5,857,274
best_candidate,0.5,859,275
best_candidate,0.5,862,276
best_candidate,0.5,864,277
best_candidate,0.5,868,278
best_candidate,0.5,871,279
best_candidate,0.5,873,280
best_candidate,0.5,877,281
best_candidate,0.5,880,282
best_candidate,0.5,882,283
best_candidate,0.5,885,284
best_candidate,0.5,889,285
best_candidate,0.5,892,286
best_candidate,0.5,895,287
best_candidate,0.5,899,288
best_candidate,0.5,901,289
best_candidate,0.5,904,290
best_candidate,0.5,906,291
best_candidate,0.5,909,292
best_candidate,0.5,911,293
best_candidate,0.5,913,294
best_candidate,0.5,916,295
best_candidate,0.5,919,296
best_candidate,0.5,922,297
best_candidate,0.5,925,298
best_candidate,0.5,926,299
best_candidate,0.5,929,300
